label,precision,recall,f1_score,support,predictions,errors
ค่าสัญญาณไม่ดี | Internet เชื่อมต่อไม่ได้ | Modem แตกหัก/สีผ,0.7429,0.9286,0.8254,28,35,2
ช่างไม่แจ้งข้อมูล/ไม่ครบถ้วน/ไม่ชัดเจน/ไม่ถูกต้อง | หน่วยงาน,1.0,1.0,1.0,28,28,0
ปัญหา Page แจ้งเตือน | เปิด Web ไม่ได้,0.6,0.2143,0.3158,28,10,22
ปัญหา Router | Internet ช้า | Wi-fi 2.4G ไม่รองรับ Speed,0.9259,0.8929,0.9091,28,27,3
ปัญหา Router | Internet หลุดบ่อย | Ticket มีการระบุให้เปลี่ย,0.7105,0.9643,0.8182,28,38,1
ปัญหา Router | เปิด Web ไม่ได้ | ลูกค้าต้องการเปลี่ยน Modem,0.5745,0.9643,0.72,28,47,1
ปัญหา WiFi | Internet หลุดบ่อย | Connect WiFi ไม่ได้/ไม่พบ S,0.9048,0.6786,0.7755,28,21,9
ปัญหา WiFi | Internet หลุดบ่อย | การใช้งานของลูกค้า,0.8667,0.9286,0.8966,28,30,2
ปัญหาระบบ | เปิด Website ไม่ได้บาง Web | เหตุเสียใช้ได้ ก่อน,0.0,0.0,0.0,28,0,28
ปัญหาระบบ | เล่น Game Online ไม่ได้ | CONFIG CHANGE/BUG FIRM,1.0,1.0,1.0,28,28,0
ปัญหาระบบ | ใช้กล้องวงจรปิดไม่ได้,0.9643,0.9643,0.9643,28,28,1
ปัญหาระบบ | ใช้งานบาง Program/App ไม่ได้ | เหตุเสียใช้ได้ ก่,0.9333,1.0,0.9655,28,30,0
ปัญหาอุปกรณ์ Router รุ่น T3 ST-244F & ST-244Fv2 ต้องเปลี่ยนเ,0.9032,1.0,0.9492,28,31,0
ปัญหาเปิดกล่องแล้วจะ Reboot สัญญาณใหม่ | TrueIDTV-ปัญหารับชม,1.0,0.9643,0.9818,28,27,1
ภาพกระตุก ทุกช่อง/บางช่อง | TVS-ปัญหาสัญญาณ | ลูกค้าเปลี่ยนใ,1.0,0.1071,0.1935,28,3,25
ภาพแตก /ภาพเป็นเส้น/ ภาพค้าง/ภาพมาๆ หายๆ | TVS-ปัญหาสัญญาณ |,0.5833,1.0,0.7368,28,48,0
มีภาพแต่ไม่มีเสียง/มีเสียงแต่ไม่มีภาพ | TVS-ปัญหาสัญญาณ | ช่,0.56,1.0,0.7179,28,50,0
ย้ายจุด/เดินสายภายในบ้าน ประเภทเดินสายลอยตีกิ๊บ จุดละ1000 บา,1.0,1.0,1.0,28,28,0
รับชม Live TV ไม่ได้-หน้าจอดำไม่แสดงภาพ | TrueIDTV-ปัญหารับช,0.96,0.8571,0.9057,28,25,4
ลูกค้าขอเปลี่ยน Router เพื่อรองรับBridge Mode | บริการหลังกา,1.0,0.2143,0.3529,28,6,22
สายโทรศัพท์ / สายไฟหย่อน | ข่ายสายตอนนอก-OSP | ทรูรับผิดชอบ,0.9655,1.0,0.9825,28,29,0
หน้าจอฟ้า/หน้าจอดำ | TVS-ปัญหาสัญญาณ | เหตุเสียใช้ได้ ก่อนช่,1.0,0.75,0.8571,28,21,7
อุปกรณ์เปิดติด - Logo Trueid TV/Android TV หมุนค้าง | TrueID,1.0,1.0,1.0,28,28,0
อุปกรณ์เปิดไม่ติด ไฟไม่เข้า | TrueIDTV-ปัญหาอุปกรณ์ | ไฟไม่เ,0.9655,1.0,0.9825,28,29,0
เปลี่ยน Modem เป็น Router gigatex | บริการหลังการขาย | Ticke,0.9655,1.0,0.9825,28,29,0
เปลี่ยน Router/MESH T3 เป็น Skyworth | บริการหลังการขาย | Co,0.5833,1.0,0.7368,28,48,0
เปลี่ยน TrueID Gen2 | บริการหลังการขาย | ลูกค้าต้องการเปลี่ย,0.875,1.0,0.9333,28,32,0
เปลี่ยนอุปกรณ์ STB เป็น 4K | บริการหลังการขาย | ส่งงานไม่ถูก,0.92,0.8214,0.8679,28,25,5
แจ้งเสียมากกว่า 2 ครั้ง ภายใน 30 วัน | Internet ช้า | Modemไ,1.0,1.0,1.0,28,28,0
โทรออกสัญญาณสายไม่ว่าง | โทรออก | เหตุเสียใช้ได้ ก่อนช่างถึง,0.875,0.75,0.8077,28,24,7
โทรเข้าออกเงียบไม่มีสัญญาณ | โทรเข้า-ออก | ลูกค้าต้องการเปลี,1.0,0.8214,0.902,28,23,5
ไฟ Los ดับ/ไฟ PON กระพริบ | Internet เชื่อมต่อไม่ได้ | ลูกค้,0.3059,0.9286,0.4602,28,85,2
ไฟ Los ติด เป็นสีแดง | Internet เชื่อมต่อไม่ได้ | สายหัก/สาย,1.0,0.1429,0.25,28,4,24
ไฟ PON ติดปกติ แต่ Userไม่ONLINE | Internet เชื่อมต่อไม่ได้ ,1.0,0.8929,0.9434,28,25,3
ไฟ Power ไม่ติด | Internet เชื่อมต่อไม่ได้ | เหตุเสียใช้ได้ ,0.6,0.1071,0.1818,28,5,25
